DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	88	0	0	43.1242	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	88	0	0	43.1768 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	2126	28	0	43.1763	0	0
DL	0.0340357	3	4	0	1	1	1	1	0	88	0	0	43.3596	0	0
UL	0.0350357	3	5	0	1	1	1	1	0	88	0	0	43.4079 	0	0
DL	0.0357857	3	5	3	1	1	1	1	0	2126	28	0	43.4004	0	0
UL	0.0407857	4	0	3	1	1	1	1	0	2126	28	0	43.2638 	0	0
UL	0.0507857	5	0	3	1	1	1	1	0	2126	28	0	43.4052 	0	0
UL	0.0607857	6	0	3	1	1	1	1	0	2126	28	0	43.3741 	0	0
UL	0.0707857	7	0	3	1	1	1	1	0	2126	28	0	43.1611 	0	0
UL	0.0807857	8	0	3	1	1	1	1	0	2126	28	0	43.04 	0	0
UL	0.0907857	9	0	3	1	1	1	1	0	2126	28	0	43.0291 	0	0
UL	0.100786	10	0	3	1	1	1	1	0	2126	28	0	43.0341 	0	0
UL	0.110786	11	0	3	1	1	1	1	0	2126	28	0	42.8992 	0	0
UL	0.120786	12	0	3	1	1	1	1	0	2126	28	0	42.8694 	0	0
UL	0.130786	13	0	3	1	1	1	1	0	2126	28	0	42.7263 	0	0
UL	0.140786	14	0	3	1	1	1	1	0	2126	28	0	42.6118 	0	0
UL	0.150786	15	0	3	1	1	1	1	0	2126	28	0	42.7148 	0	0
UL	0.160786	16	0	3	1	1	1	1	0	2126	28	0	42.7167 	0	0
UL	0.170786	17	0	3	1	1	1	1	0	2126	28	0	42.6077 	0	0
UL	0.180786	18	0	3	1	1	1	1	0	2126	28	0	42.5118 	0	0
UL	0.190786	19	0	3	1	1	1	1	0	2126	28	0	42.7328 	0	0
UL	0.200786	20	0	3	1	1	1	1	0	2126	28	0	42.802 	0	0
UL	0.210786	21	0	3	1	1	1	1	0	2126	28	0	42.7437 	0	0
UL	0.220786	22	0	3	1	1	1	1	0	2126	28	0	42.8516 	0	0
UL	0.230786	23	0	3	1	1	1	1	0	2126	28	0	43.0946 	0	0
UL	0.240786	24	0	3	1	1	1	1	0	2126	28	0	42.9901 	0	0
UL	0.250786	25	0	3	1	1	1	1	0	2126	28	0	43.0861 	0	0
UL	0.260786	26	0	3	1	1	1	1	0	2126	28	0	43.2866 	0	0
UL	0.270786	27	0	3	1	1	1	1	0	2126	28	0	43.4351 	0	0
UL	0.280786	28	0	3	1	1	1	1	0	2126	28	0	43.4795 	0	0
UL	0.290786	29	0	3	1	1	1	1	0	2126	28	0	43.5761 	0	0
UL	0.300786	30	0	3	1	1	1	1	0	2126	28	0	43.3567 	0	0
UL	0.310786	31	0	3	1	1	1	1	0	2126	28	0	43.4521 	0	0
UL	0.320786	32	0	3	1	1	1	1	0	2126	28	0	43.6278 	0	0
UL	0.330786	33	0	3	1	1	1	1	0	2126	28	0	43.7621 	0	0
UL	0.340786	34	0	3	1	1	1	1	0	2126	28	0	43.8301 	0	0
UL	0.350786	35	0	3	1	1	1	1	0	2126	28	0	43.8537 	0	0
UL	0.360786	36	0	3	1	1	1	1	0	2126	28	0	43.6828 	0	0
UL	0.370786	37	0	3	1	1	1	1	0	2126	28	0	43.8211 	0	0
UL	0.380786	38	0	3	1	1	1	1	0	2126	28	0	43.8747 	0	0
UL	0.390786	39	0	3	1	1	1	1	0	2126	28	0	44.1448 	0	0
UL	0.400786	40	0	3	1	1	1	1	0	2126	28	0	44.2452 	0	0
UL	0.410786	41	0	3	1	1	1	1	0	2126	28	0	44.2318 	0	0
UL	0.420786	42	0	3	1	1	1	1	0	2126	28	0	44.2465 	0	0
UL	0.430786	43	0	3	1	1	1	1	0	2126	28	0	44.2709 	0	0
UL	0.440786	44	0	3	1	1	1	1	0	2126	28	0	44.314 	0	0
UL	0.450786	45	0	3	1	1	1	1	0	2126	28	0	44.2552 	0	0
UL	0.460786	46	0	3	1	1	1	1	0	2126	28	0	44.2658 	0	0
UL	0.470786	47	0	3	1	1	1	1	0	2126	28	0	44.0174 	0	0
UL	0.480786	48	0	3	1	1	1	1	0	2126	28	0	43.9834 	0	0
UL	0.490786	49	0	3	1	1	1	1	0	2126	28	0	43.7666 	0	0
UL	0.500786	50	0	3	1	1	1	1	0	2126	28	0	43.7759 	0	0
UL	0.510786	51	0	3	1	1	1	1	0	2126	28	0	43.8155 	0	0
UL	0.520786	52	0	3	1	1	1	1	0	2126	28	0	43.4324 	0	0
UL	0.530786	53	0	3	1	1	1	1	0	2126	28	0	43.5705 	0	0
UL	0.540786	54	0	3	1	1	1	1	0	2126	28	0	43.6022 	0	0
UL	0.550786	55	0	3	1	1	1	1	0	2126	28	0	43.5188 	0	0
UL	0.560786	56	0	3	1	1	1	1	0	2126	28	0	43.7023 	0	0
UL	0.570786	57	0	3	1	1	1	1	0	2126	28	0	43.7791 	0	0
UL	0.580786	58	0	3	1	1	1	1	0	2126	28	0	43.8647 	0	0
UL	0.590786	59	0	3	1	1	1	1	0	2126	28	0	43.8342 	0	0
UL	0.600786	60	0	3	1	1	1	1	0	2126	28	0	43.9938 	0	0
UL	0.610786	61	0	3	1	1	1	1	0	2126	28	0	43.9964 	0	0
UL	0.620786	62	0	3	1	1	1	1	0	2126	28	0	43.6966 	0	0
UL	0.630786	63	0	3	1	1	1	1	0	2126	28	0	43.6658 	0	0
UL	0.640786	64	0	3	1	1	1	1	0	2126	28	0	43.3937 	0	0
UL	0.650786	65	0	3	1	1	1	1	0	2126	28	0	43.5233 	0	0
UL	0.660786	66	0	3	1	1	1	1	0	2126	28	0	43.4367 	0	0
UL	0.670786	67	0	3	1	1	1	1	0	2126	28	0	43.4698 	0	0
UL	0.680786	68	0	3	1	1	1	1	0	2126	28	0	43.4381 	0	0
UL	0.690786	69	0	3	1	1	1	1	0	2126	28	0	43.606 	0	0
UL	0.700786	70	0	3	1	1	1	1	0	2126	28	0	43.585 	0	0
UL	0.710786	71	0	3	1	1	1	1	0	2126	28	0	43.472 	0	0
UL	0.720786	72	0	3	1	1	1	1	0	2126	28	0	43.2809 	0	0
UL	0.730786	73	0	3	1	1	1	1	0	2126	28	0	43.4484 	0	0
UL	0.740786	74	0	3	1	1	1	1	0	2126	28	0	43.63 	0	0
UL	0.750786	75	0	3	1	1	1	1	0	2126	28	0	43.2462 	0	0
UL	0.760786	76	0	3	1	1	1	1	0	2126	28	0	43.2269 	0	0
UL	0.770786	77	0	3	1	1	1	1	0	2126	28	0	42.9513 	0	0
UL	0.780786	78	0	3	1	1	1	1	0	2126	28	0	42.4486 	0	0
UL	0.790786	79	0	3	1	1	1	1	0	2126	28	0	42.3521 	0	0
UL	0.800786	80	0	3	1	1	1	1	0	2126	28	0	42.3847 	0	0
UL	0.810786	81	0	3	1	1	1	1	0	2126	28	0	42.2187 	0	0
UL	0.820786	82	0	3	1	1	1	1	0	2126	28	0	42.2143 	0	0
UL	0.830786	83	0	3	1	1	1	1	0	2126	28	0	42.1155 	0	0
UL	0.840786	84	0	3	1	1	1	1	0	2126	28	0	42.1122 	0	0
UL	0.850786	85	0	3	1	1	1	1	0	2126	28	0	42.1556 	0	0
UL	0.860786	86	0	3	1	1	1	1	0	2126	28	0	42.3153 	0	0
UL	0.870786	87	0	3	1	1	1	1	0	2126	28	0	42.0703 	0	0
UL	0.880786	88	0	3	1	1	1	1	0	2126	28	0	42.0647 	0	0
UL	0.890786	89	0	3	1	1	1	1	0	2126	28	0	42.3056 	0	0
UL	0.900786	90	0	3	1	1	1	1	0	2126	28	0	42.4495 	0	0
UL	0.910786	91	0	3	1	1	1	1	0	2126	28	0	42.5236 	0	0
UL	0.920786	92	0	3	1	1	1	1	0	2126	28	0	42.2596 	0	0
UL	0.930786	93	0	3	1	1	1	1	0	2126	28	0	42.217 	0	0
UL	0.940786	94	0	3	1	1	1	1	0	2126	28	0	42.048 	0	0
UL	0.950786	95	0	3	1	1	1	1	0	2126	28	0	41.9593 	0	0
UL	0.960786	96	0	3	1	1	1	1	0	2126	28	0	41.6993 	0	0
UL	0.970786	97	0	3	1	1	1	1	0	2126	28	0	41.6479 	0	0
UL	0.980786	98	0	3	1	1	1	1	0	2126	28	0	41.7031 	0	0
UL	0.990786	99	0	3	1	1	1	1	0	2126	28	0	41.5787 	0	0
UL	1.00079	100	0	3	1	1	1	1	0	2126	28	0	41.4408 	0	0
UL	1.01079	101	0	3	1	1	1	1	0	2126	28	0	41.4409 	0	0
UL	1.02079	102	0	3	1	1	1	1	0	2126	28	0	41.3496 	0	0
UL	1.03079	103	0	3	1	1	1	1	0	2126	28	0	41.0742 	0	0
UL	1.04079	104	0	3	1	1	1	1	0	2126	28	0	40.7618 	0	0
