DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	88	0	0	54.8441	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	88	0	0	54.8965 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	2126	28	0	54.8963	0	0
DL	0.0340357	3	4	0	1	1	1	1	0	88	0	0	55.0794	0	0
UL	0.0350357	3	5	0	1	1	1	1	0	88	0	0	55.1276 	0	0
DL	0.0357857	3	5	3	1	1	1	1	0	2126	28	0	55.12	0	0
UL	0.0407857	4	0	3	1	1	1	1	0	2126	28	0	54.984 	0	0
UL	0.0507857	5	0	3	1	1	1	1	0	2126	28	0	55.1254 	0	0
UL	0.0607857	6	0	3	1	1	1	1	0	2126	28	0	55.094 	0	0
UL	0.0707857	7	0	3	1	1	1	1	0	2126	28	0	54.8812 	0	0
UL	0.0807857	8	0	3	1	1	1	1	0	2126	28	0	54.7604 	0	0
UL	0.0907857	9	0	3	1	1	1	1	0	2126	28	0	54.7493 	0	0
UL	0.100786	10	0	3	1	1	1	1	0	2126	28	0	54.7539 	0	0
UL	0.110786	11	0	3	1	1	1	1	0	2126	28	0	54.6193 	0	0
UL	0.120786	12	0	3	1	1	1	1	0	2126	28	0	54.59 	0	0
UL	0.130786	13	0	3	1	1	1	1	0	2126	28	0	54.4464 	0	0
UL	0.140786	14	0	3	1	1	1	1	0	2126	28	0	54.3315 	0	0
UL	0.150786	15	0	3	1	1	1	1	0	2126	28	0	54.4351 	0	0
UL	0.160786	16	0	3	1	1	1	1	0	2126	28	0	54.4371 	0	0
UL	0.170786	17	0	3	1	1	1	1	0	2126	28	0	54.3274 	0	0
UL	0.180786	18	0	3	1	1	1	1	0	2126	28	0	54.2317 	0	0
UL	0.190786	19	0	3	1	1	1	1	0	2126	28	0	54.4533 	0	0
UL	0.200786	20	0	3	1	1	1	1	0	2126	28	0	54.522 	0	0
UL	0.210786	21	0	3	1	1	1	1	0	2126	28	0	54.4633 	0	0
UL	0.220786	22	0	3	1	1	1	1	0	2126	28	0	54.5717 	0	0
UL	0.230786	23	0	3	1	1	1	1	0	2126	28	0	54.8149 	0	0
UL	0.240786	24	0	3	1	1	1	1	0	2126	28	0	54.71 	0	0
UL	0.250786	25	0	3	1	1	1	1	0	2126	28	0	54.8059 	0	0
UL	0.260786	26	0	3	1	1	1	1	0	2126	28	0	55.0069 	0	0
UL	0.270786	27	0	3	1	1	1	1	0	2126	28	0	55.1553 	0	0
UL	0.280786	28	0	3	1	1	1	1	0	2126	28	0	55.1994 	0	0
UL	0.290786	29	0	3	1	1	1	1	0	2126	28	0	55.2961 	0	0
UL	0.300786	30	0	3	1	1	1	1	0	2126	28	0	55.0769 	0	0
UL	0.310786	31	0	3	1	1	1	1	0	2126	28	0	55.1723 	0	0
UL	0.320786	32	0	3	1	1	1	1	0	2126	28	0	55.3478 	0	0
UL	0.330786	33	0	3	1	1	1	1	0	2126	28	0	55.4823 	0	0
UL	0.340786	34	0	3	1	1	1	1	0	2126	28	0	55.5506 	0	0
UL	0.350786	35	0	3	1	1	1	1	0	2126	28	0	55.5739 	0	0
UL	0.360786	36	0	3	1	1	1	1	0	2126	28	0	55.4025 	0	0
UL	0.370786	37	0	3	1	1	1	1	0	2126	28	0	55.5411 	0	0
UL	0.380786	38	0	3	1	1	1	1	0	2126	28	0	55.5952 	0	0
UL	0.390786	39	0	3	1	1	1	1	0	2126	28	0	55.8648 	0	0
UL	0.400786	40	0	3	1	1	1	1	0	2126	28	0	55.9649 	0	0
UL	0.410786	41	0	3	1	1	1	1	0	2126	28	0	55.952 	0	0
UL	0.420786	42	0	3	1	1	1	1	0	2126	28	0	55.9668 	0	0
UL	0.430786	43	0	3	1	1	1	1	0	2126	28	0	55.9906 	0	0
UL	0.440786	44	0	3	1	1	1	1	0	2126	28	0	56.0338 	0	0
UL	0.450786	45	0	3	1	1	1	1	0	2126	28	0	55.9757 	0	0
UL	0.460786	46	0	3	1	1	1	1	0	2126	28	0	55.9855 	0	0
UL	0.470786	47	0	3	1	1	1	1	0	2126	28	0	55.7374 	0	0
UL	0.480786	48	0	3	1	1	1	1	0	2126	28	0	55.7036 	0	0
UL	0.490786	49	0	3	1	1	1	1	0	2126	28	0	55.487 	0	0
UL	0.500786	50	0	3	1	1	1	1	0	2126	28	0	55.4963 	0	0
UL	0.510786	51	0	3	1	1	1	1	0	2126	28	0	55.5353 	0	0
UL	0.520786	52	0	3	1	1	1	1	0	2126	28	0	55.1521 	0	0
UL	0.530786	53	0	3	1	1	1	1	0	2126	28	0	55.2908 	0	0
UL	0.540786	54	0	3	1	1	1	1	0	2126	28	0	55.3227 	0	0
UL	0.550786	55	0	3	1	1	1	1	0	2126	28	0	55.2389 	0	0
UL	0.560786	56	0	3	1	1	1	1	0	2126	28	0	55.4223 	0	0
UL	0.570786	57	0	3	1	1	1	1	0	2126	28	0	55.4989 	0	0
UL	0.580786	58	0	3	1	1	1	1	0	2126	28	0	55.5846 	0	0
UL	0.590786	59	0	3	1	1	1	1	0	2126	28	0	55.5545 	0	0
UL	0.600786	60	0	3	1	1	1	1	0	2126	28	0	55.7142 	0	0
UL	0.610786	61	0	3	1	1	1	1	0	2126	28	0	55.7165 	0	0
UL	0.620786	62	0	3	1	1	1	1	0	2126	28	0	55.4165 	0	0
UL	0.630786	63	0	3	1	1	1	1	0	2126	28	0	55.3859 	0	0
UL	0.640786	64	0	3	1	1	1	1	0	2126	28	0	55.1138 	0	0
UL	0.650786	65	0	3	1	1	1	1	0	2126	28	0	55.2435 	0	0
UL	0.660786	66	0	3	1	1	1	1	0	2126	28	0	55.1572 	0	0
UL	0.670786	67	0	3	1	1	1	1	0	2126	28	0	55.19 	0	0
UL	0.680786	68	0	3	1	1	1	1	0	2126	28	0	55.1579 	0	0
UL	0.690786	69	0	3	1	1	1	1	0	2126	28	0	55.3258 	0	0
UL	0.700786	70	0	3	1	1	1	1	0	2126	28	0	55.3051 	0	0
UL	0.710786	71	0	3	1	1	1	1	0	2126	28	0	55.1922 	0	0
UL	0.720786	72	0	3	1	1	1	1	0	2126	28	0	55.0012 	0	0
UL	0.730786	73	0	3	1	1	1	1	0	2126	28	0	55.1685 	0	0
UL	0.740786	74	0	3	1	1	1	1	0	2126	28	0	55.3497 	0	0
UL	0.750786	75	0	3	1	1	1	1	0	2126	28	0	54.9662 	0	0
UL	0.760786	76	0	3	1	1	1	1	0	2126	28	0	54.9473 	0	0
UL	0.770786	77	0	3	1	1	1	1	0	2126	28	0	54.6717 	0	0
UL	0.780786	78	0	3	1	1	1	1	0	2126	28	0	54.1689 	0	0
UL	0.790786	79	0	3	1	1	1	1	0	2126	28	0	54.0726 	0	0
UL	0.800786	80	0	3	1	1	1	1	0	2126	28	0	54.105 	0	0
UL	0.810786	81	0	3	1	1	1	1	0	2126	28	0	53.939 	0	0
UL	0.820786	82	0	3	1	1	1	1	0	2126	28	0	53.9346 	0	0
UL	0.830786	83	0	3	1	1	1	1	0	2126	28	0	53.8355 	0	0
UL	0.840786	84	0	3	1	1	1	1	0	2126	28	0	53.8324 	0	0
UL	0.850786	85	0	3	1	1	1	1	0	2126	28	0	53.8753 	0	0
UL	0.860786	86	0	3	1	1	1	1	0	2126	28	0	54.0354 	0	0
UL	0.870786	87	0	3	1	1	1	1	0	2126	28	0	53.7901 	0	0
UL	0.880786	88	0	3	1	1	1	1	0	2126	28	0	53.7847 	0	0
UL	0.890786	89	0	3	1	1	1	1	0	2126	28	0	54.0255 	0	0
UL	0.900786	90	0	3	1	1	1	1	0	2126	28	0	54.1693 	0	0
UL	0.910786	91	0	3	1	1	1	1	0	2126	28	0	54.2435 	0	0
UL	0.920786	92	0	3	1	1	1	1	0	2126	28	0	53.9792 	0	0
UL	0.930786	93	0	3	1	1	1	1	0	2126	28	0	53.9367 	0	0
UL	0.940786	94	0	3	1	1	1	1	0	2126	28	0	53.7677 	0	0
UL	0.950786	95	0	3	1	1	1	1	0	2126	28	0	53.6791 	0	0
UL	0.960786	96	0	3	1	1	1	1	0	2126	28	0	53.4191 	0	0
UL	0.970786	97	0	3	1	1	1	1	0	2126	28	0	53.368 	0	0
UL	0.980786	98	0	3	1	1	1	1	0	2126	28	0	53.4232 	0	0
UL	0.990786	99	0	3	1	1	1	1	0	2126	28	0	53.299 	0	0
UL	1.00079	100	0	3	1	1	1	1	0	2126	28	0	53.1612 	0	0
UL	1.01079	101	0	3	1	1	1	1	0	2126	28	0	53.1612 	0	0
UL	1.02079	102	0	3	1	1	1	1	0	2126	28	0	53.0701 	0	0
UL	1.03079	103	0	3	1	1	1	1	0	2126	28	0	52.7945 	0	0
UL	1.04079	104	0	3	1	1	1	1	0	2126	28	0	52.4823 	0	0
UL	1.05079	105	0	3	1	1	1	1	0	2126	28	0	52.4938 	0	0
UL	1.06079	106	0	3	1	1	1	1	0	2126	28	0	52.4565 	0	0
UL	1.07079	107	0	3	1	1	1	1	0	2126	28	0	52.3406 	0	0
UL	1.08079	108	0	3	1	1	1	1	0	2126	28	0	52.0858 	0	0
UL	1.09079	109	0	3	1	1	1	1	0	2126	28	0	51.9948 	0	0
UL	1.10079	110	0	3	1	1	1	1	0	2126	28	0	51.8719 	0	0
UL	1.11079	111	0	3	1	1	1	1	0	2126	28	0	52.0253 	0	0
UL	1.12079	112	0	3	1	1	1	1	0	2126	28	0	51.8278 	0	0
UL	1.13079	113	0	3	1	1	1	1	0	2126	28	0	51.519 	0	0
UL	1.14079	114	0	3	1	1	1	1	0	2126	28	0	51.2883 	0	0
UL	1.15079	115	0	3	1	1	1	1	0	2126	28	0	51.284 	0	0
UL	1.16079	116	0	3	1	1	1	1	0	2126	28	0	51.2155 	0	0
UL	1.17079	117	0	3	1	1	1	1	0	2126	28	0	51.2568 	0	0
UL	1.18079	118	0	3	1	1	1	1	0	2126	28	0	51.328 	0	0
UL	1.19079	119	0	3	1	1	1	1	0	2126	28	0	51.5295 	0	0
UL	1.20079	120	0	3	1	1	1	1	0	2126	28	0	51.5175 	0	0
UL	1.21079	121	0	3	1	1	1	1	0	2126	28	0	51.3748 	0	0
UL	1.22079	122	0	3	1	1	1	1	0	2126	28	0	51.3825 	0	0
UL	1.23079	123	0	3	1	1	1	1	0	2126	28	0	51.4338 	0	0
UL	1.24079	124	0	3	1	1	1	1	0	2126	28	0	51.5335 	0	0
UL	1.25079	125	0	3	1	1	1	1	0	2126	28	0	51.5008 	0	0
UL	1.26079	126	0	3	1	1	1	1	0	2126	28	0	51.4271 	0	0
UL	1.27079	127	0	3	1	1	1	1	0	2126	28	0	51.3974 	0	0
UL	1.28079	128	0	3	1	1	1	1	0	2126	28	0	51.1724 	0	0
UL	1.29079	129	0	3	1	1	1	1	0	2126	28	0	50.9851 	0	0
UL	1.30079	130	0	3	1	1	1	1	0	2126	28	0	51.0352 	0	0
UL	1.31079	131	0	3	1	1	1	1	0	2126	28	0	51.1639 	0	0
UL	1.32079	132	0	3	1	1	1	1	0	2126	28	0	50.848 	0	0
UL	1.33079	133	0	3	1	1	1	1	0	2126	28	0	50.8771 	0	0
UL	1.34079	134	0	3	1	1	1	1	0	2126	28	0	50.7107 	0	0
UL	1.35079	135	0	3	1	1	1	1	0	2126	28	0	50.5676 	0	0
UL	1.36079	136	0	3	1	1	1	1	0	2126	28	0	50.8563 	0	0
UL	1.37079	137	0	3	1	1	1	1	0	2126	28	0	50.6974 	0	0
UL	1.38079	138	0	3	1	1	1	1	0	2126	28	0	50.3596 	0	0
UL	1.39079	139	0	3	1	1	1	1	0	2126	28	0	50.4206 	0	0
UL	1.40079	140	0	3	1	1	1	1	0	2126	28	0	50.361 	0	0
UL	1.41079	141	0	3	1	1	1	1	0	2126	28	0	50.0805 	0	0
UL	1.42079	142	0	3	1	1	1	1	0	2126	28	0	49.9414 	0	0
UL	1.43079	143	0	3	1	1	1	1	0	2126	28	0	50.0323 	0	0
UL	1.44079	144	0	3	1	1	1	1	0	2126	28	0	49.9502 	0	0
UL	1.45079	145	0	3	1	1	1	1	0	2126	28	0	49.9684 	0	0
UL	1.46079	146	0	3	1	1	1	1	0	2126	28	0	49.7161 	0	0
UL	1.47079	147	0	3	1	1	1	1	0	2126	28	0	49.8092 	0	0
UL	1.48079	148	0	3	1	1	1	1	0	2126	28	0	49.9749 	0	0
UL	1.49079	149	0	3	1	1	1	1	0	2126	28	0	49.7954 	0	0
UL	1.50079	150	0	3	1	1	1	1	0	2126	28	0	49.8544 	0	0
UL	1.51079	151	0	3	1	1	1	1	0	2126	28	0	49.83 	0	0
UL	1.52079	152	0	3	1	1	1	1	0	2126	28	0	49.7099 	0	0
UL	1.53079	153	0	3	1	1	1	1	0	2126	28	0	49.181 	0	0
UL	1.54079	154	0	3	1	1	1	1	0	2126	28	0	49.1184 	0	0
UL	1.55079	155	0	3	1	1	1	1	0	2126	28	0	49.3775 	0	0
UL	1.56079	156	0	3	1	1	1	1	0	2126	28	0	49.3167 	0	0
UL	1.57079	157	0	3	1	1	1	1	0	2126	28	0	49.2032 	0	0
UL	1.58079	158	0	3	1	1	1	1	0	2126	28	0	49.0758 	0	0
UL	1.59079	159	0	3	1	1	1	1	0	2126	28	0	49.2809 	0	0
UL	1.60079	160	0	3	1	1	1	1	0	2126	28	0	49.2147 	0	0
UL	1.61079	161	0	3	1	1	1	1	0	2126	28	0	49.3058 	0	0
UL	1.62079	162	0	3	1	1	1	1	0	2126	28	0	49.1924 	0	0
UL	1.63079	163	0	3	1	1	1	1	0	2126	28	0	49.0743 	0	0
UL	1.64079	164	0	3	1	1	1	1	0	2126	28	0	49.04 	0	0
UL	1.65079	165	0	3	1	1	1	1	0	2126	28	0	49.0019 	0	0
UL	1.66079	166	0	3	1	1	1	1	0	2126	28	0	49.2361 	0	0
UL	1.67079	167	0	3	1	1	1	1	0	2126	28	0	49.5038 	0	0
UL	1.68079	168	0	3	1	1	1	1	0	2126	28	0	49.6868 	0	0
UL	1.69079	169	0	3	1	1	1	1	0	2126	28	0	49.6916 	0	0
UL	1.70079	170	0	3	1	1	1	1	0	2126	28	0	49.6707 	0	0
UL	1.71079	171	0	3	1	1	1	1	0	2126	28	0	49.5124 	0	0
UL	1.72079	172	0	3	1	1	1	1	0	2126	28	0	49.1581 	0	0
UL	1.73079	173	0	3	1	1	1	1	0	2126	28	0	49.0932 	0	0
UL	1.74079	174	0	3	1	1	1	1	0	2126	28	0	49.0605 	0	0
UL	1.75079	175	0	3	1	1	1	1	0	2126	28	0	49.0778 	0	0
UL	1.76079	176	0	3	1	1	1	1	0	2126	28	0	49.0064 	0	0
UL	1.77079	177	0	3	1	1	1	1	0	2126	28	0	49.0302 	0	0
UL	1.78079	178	0	3	1	1	1	1	0	2126	28	0	49.366 	0	0
UL	1.79079	179	0	3	1	1	1	1	0	2126	28	0	49.0904 	0	0
UL	1.80079	180	0	3	1	1	1	1	0	2126	28	0	48.7999 	0	0
UL	1.81079	181	0	3	1	1	1	1	0	2126	28	0	48.7876 	0	0
UL	1.82079	182	0	3	1	1	1	1	0	2126	28	0	48.6818 	0	0
UL	1.83079	183	0	3	1	1	1	1	0	2126	28	0	48.7353 	0	0
UL	1.84079	184	0	3	1	1	1	1	0	2126	28	0	49.0255 	0	0
UL	1.85079	185	0	3	1	1	1	1	0	2126	28	0	49.2843 	0	0
UL	1.86079	186	0	3	1	1	1	1	0	2126	28	0	49.3466 	0	0
UL	1.87079	187	0	3	1	1	1	1	0	2126	28	0	49.227 	0	0
UL	1.88079	188	0	3	1	1	1	1	0	2126	28	0	49.414 	0	0
UL	1.89079	189	0	3	1	1	1	1	0	2126	28	0	49.2165 	0	0
UL	1.90079	190	0	3	1	1	1	1	0	2126	28	0	49.2962 	0	0
UL	1.91079	191	0	3	1	1	1	1	0	2126	28	0	49.3817 	0	0
UL	1.92079	192	0	3	1	1	1	1	0	2126	28	0	49.3945 	0	0
UL	1.93079	193	0	3	1	1	1	1	0	2126	28	0	49.4615 	0	0
UL	1.94079	194	0	3	1	1	1	1	0	2126	28	0	49.1735 	0	0
UL	1.95079	195	0	3	1	1	1	1	0	2126	28	0	49.2242 	0	0
UL	1.96079	196	0	3	1	1	1	1	0	2126	28	0	49.2593 	0	0
UL	1.97079	197	0	3	1	1	1	1	0	2126	28	0	49.217 	0	0
UL	1.98079	198	0	3	1	1	1	1	0	2126	28	0	49.1775 	0	0
UL	1.99079	199	0	3	1	1	1	1	0	2126	28	0	49.2358 	0	0
UL	2.00079	200	0	3	1	1	1	1	0	2126	28	0	49.0009 	0	0
UL	2.01079	201	0	3	1	1	1	1	0	2126	28	0	48.8994 	0	0
UL	2.02079	202	0	3	1	1	1	1	0	2126	28	0	49.1282 	0	0
UL	2.03079	203	0	3	1	1	1	1	0	2126	28	0	49.1454 	0	0
UL	2.04079	204	0	3	1	1	1	1	0	2126	28	0	49.2923 	0	0
UL	2.05079	205	0	3	1	1	1	1	0	2126	28	0	49.3738 	0	0
UL	2.06079	206	0	3	1	1	1	1	0	2126	28	0	49.3265 	0	0
UL	2.07079	207	0	3	1	1	1	1	0	2126	28	0	49.2619 	0	0
UL	2.08079	208	0	3	1	1	1	1	0	2126	28	0	49.3252 	0	0
UL	2.09079	209	0	3	1	1	1	1	0	2126	28	0	49.5338 	0	0
UL	2.10079	210	0	3	1	1	1	1	0	2126	28	0	49.7873 	0	0
UL	2.11079	211	0	3	1	1	1	1	0	2126	28	0	49.8272 	0	0
