DL/UL	time	tbSize	SINR(dB)
DL	403.571	88	37.978
DL	405.357	88	436.542
DL	578.571	2126	381.256
DL	580.357	2126	435.904
DL	340.357	88	388.642
DL	340.536	88	439.253
DL	357.857	2126	388.977
DL	358.036	2126	439.459
DL	427.857	2126	392.768
DL	428.036	2126	430.219
DL	527.857	2126	39.739
DL	528.036	2126	427.834
DL	627.857	2126	39.576
DL	628.036	2126	43.071
DL	727.857	2126	400.498
DL	728.036	2126	430.367
DL	827.857	2126	40.217
DL	828.036	2126	433.642
DL	927.857	2126	41.187
DL	928.036	2126	438.234
DL	102.786	2126	406.174
DL	102.804	2126	438.565
DL	112.786	2126	416.117
DL	112.804	2126	439.064
DL	122.786	2126	409.619
DL	122.804	2126	439.637
DL	132.786	2126	41.008
DL	132.804	2126	441.339
DL	142.786	2126	402.235
DL	142.804	2126	440.598
DL	152.786	2126	405.145
DL	152.804	2126	435.746
DL	162.786	2126	407.971
DL	162.804	2126	434.163
DL	172.786	2126	407.423
DL	172.804	2126	429.147
DL	182.786	2126	400.673
DL	182.804	2126	431.321
DL	192.786	2126	409.343
DL	192.804	2126	428.212
DL	202.786	2126	40.805
DL	202.804	2126	43.432
DL	212.786	2126	407.177
DL	212.804	2126	428.795
DL	222.786	2126	409.287
DL	222.804	2126	429.061
DL	232.786	2126	407.946
DL	232.804	2126	437.308
DL	242.786	2126	403.027
DL	242.804	2126	435.742
DL	252.786	2126	399.524
DL	252.804	2126	438.363
DL	262.786	2126	39.288
DL	262.804	2126	42.82
DL	272.786	2126	398.042
DL	272.804	2126	423.346
DL	282.786	2126	388.326
DL	282.804	2126	426.251
DL	292.786	2126	384.613
DL	292.804	2126	427.857
DL	302.786	2126	385.887
DL	302.804	2126	437.118
DL	312.786	2126	383.264
DL	312.804	2126	432.253
DL	322.786	2126	381.151
DL	322.804	2126	421.233
DL	332.786	2126	37.822
DL	332.804	2126	427.833
DL	342.786	2126	380.919
DL	342.804	2126	423.854
DL	352.786	2126	376.464
DL	352.804	2126	410.105
DL	362.786	2126	369.284
DL	362.804	2126	405.571
DL	372.786	2126	368.552
DL	372.804	2126	408.611
DL	382.786	2126	355.412
DL	382.804	2126	397.247
DL	392.786	2126	347.608
DL	392.804	2126	396.276
DL	402.786	2126	349.644
DL	402.804	2126	396.411
DL	412.786	2126	349.909
DL	412.804	2126	400.674
DL	422.786	2126	360.318
DL	422.804	2126	40.159
DL	432.786	2126	35.578
DL	432.804	2126	401.176
DL	442.786	2126	35.511
DL	442.804	2126	399.678
DL	452.786	2126	348.709
DL	452.804	2126	407.922
DL	462.786	2126	344.497
DL	462.804	2126	407.721
DL	472.786	2126	337.666
DL	472.804	2126	404.808
DL	482.786	2126	34.111
DL	482.804	2126	398.216
DL	492.786	2126	337.799
DL	492.804	2126	400.689
DL	502.786	2126	337.622
DL	502.804	2126	401.044
DL	512.786	2126	33.234
DL	512.804	2126	396.259
DL	522.786	2126	335.141
DL	522.804	2126	403.831
DL	532.786	2126	338.316
DL	532.804	2126	401.514
DL	542.786	2126	335.558
DL	542.804	2126	401.759
DL	552.786	2126	33.467
DL	552.804	2126	402.901
DL	562.786	2126	335.115
DL	562.804	2126	412.622
DL	572.786	2126	329.759
DL	572.804	2126	411.075
DL	582.786	2126	321.467
DL	582.804	2126	406.253
DL	592.786	2126	321.194
DL	592.804	2126	400.767
DL	602.786	2126	317.769
DL	602.804	2126	403.071
DL	612.786	2126	309.618
DL	612.804	2126	396.454
DL	622.786	2126	318.566
DL	622.804	2126	397.061
DL	632.786	2126	323.607
DL	632.804	2126	392.502
DL	642.786	2126	326.564
DL	642.804	2126	395.862
DL	652.786	2126	323.516
DL	652.804	2126	397.435
DL	662.786	2126	324.565
DL	662.804	2126	405.938
DL	672.786	2126	334.457
DL	672.804	2126	398.504
DL	682.786	2126	333.866
DL	682.804	2126	402.666
DL	692.786	2126	335.985
DL	692.804	2126	397.626
DL	702.786	2126	338.336
DL	702.804	2126	403.644
DL	712.786	2126	337.031
DL	712.804	2126	403.965
DL	722.786	2126	334.824
DL	722.804	2126	402.424
DL	732.786	2126	336.279
DL	732.804	2126	405.988
DL	742.786	2126	331.208
DL	742.804	2126	397.523
DL	752.786	2126	334.443
DL	752.804	2126	40.292
DL	762.786	2126	329.373
DL	762.804	2126	393.889
DL	772.786	2126	331.746
DL	772.804	2126	397.414
DL	782.786	2126	335.161
DL	782.804	2126	396.628
DL	792.786	2126	334.281
DL	792.804	2126	393.036
DL	802.786	2126	325.106
DL	802.804	2126	399.092
DL	812.786	2126	320.521
DL	812.804	2126	393.967
DL	822.786	2126	318.465
DL	822.804	2126	392.579
DL	832.786	2126	318.302
