Upload	Ul_time	Ul_SINR(db)	Ul_tbSize	Download	Dl_Time	DL_SINR(db)	DL_tbsize
UL	0,0050	40,4055	2126	DL	0,0040	39,6218	2126
UL	0,0051	40,3145	2126	DL	0,0041	39,948	2126
UL	0,0350	40,4979	2126	DL	0,0058	40,373	2126
UL	0,0351	40,0814	2126	DL	0,0058	40,2703	2126
UL	0,0408	40,524	2126	DL	0,0340	40,6459	2126
UL	0,0408	40,3599	2126	DL	0,0341	39,9518	2126
UL	0,0508	40,1601	2126	DL	0,0358	40,5381	2126
UL	0,0508	40,6277	2126	DL	0,0358	40,4349	2126
UL	0,0608	39,9282	2126	DL	0,0428	40,631	2126
UL	0,0608	40,3975	2126	DL	0,0428	40,6096	2126
UL	0,0708	40,2978	2126	DL	0,0528	40,0238	2126
UL	0,0708	39,5974	2126	DL	0,0528	40,2869	2126
UL	0,0808	39,5529	2126	DL	0,0628	40,3276	2126
UL	0,0808	39,5796	2126	DL	0,0628	39,4957	2126
UL	0,0908	38,904	2126	DL	0,0728	39,7163	2126
UL	0,0908	38,6132	2126	DL	0,0728	39,3424	2126
UL	0,1008	38,2665	2126	DL	0,0828	39,09	2126
UL	0,1008	38,2829	2126	DL	0,0828	38,3378	2126
UL	0,1108	38,0134	2126	DL	0,0928	38,4105	2126
UL	0,1108	38,2382	2126	DL	0,0928	38,2619	2126
UL	0,1208	37,9126	2126	DL	0,1028	38,0623	2126
UL	0,1208	37,7265	2126	DL	0,1028	37,9619	2126
UL	0,1308	37,741	2126	DL	0,1128	38,0628	2126
UL	0,1308	38,0599	2126	DL	0,1128	37,7917	2126
UL	0,1408	37,6817	2126	DL	0,1228	37,7204	2126
UL	0,1408	38,8189	2126	DL	0,1228	37,6957	2126
UL	0,1508	39,3305	2126	DL	0,1328	38,064	2126
UL	0,1508	39,0573	2126	DL	0,1328	38,9165	2126
UL	0,1608	38,9635	2126	DL	0,1428	39,1841	2126
UL	0,1608	38,2096	2126	DL	0,1428	39,3706	2126
UL	0,1708	37,4296	2126	DL	0,1528	38,7278	2126
UL	0,1708	37,4032	2126	DL	0,1528	38,1621	2126
UL	0,1808	37,5326	2126	DL	0,1628	37,347	2126
UL	0,1808	37,8046	2126	DL	0,1628	37,5636	2126
UL	0,1908	37,5946	2126	DL	0,1728	37,789	2126
UL	0,1908	38,2093	2126	DL	0,1728	37,5561	2126
UL	0,2008	38,2866	2126	DL	0,1828	37,4949	2126
UL	0,2008	37,9924	2126	DL	0,1828	38,5235	2126
UL	0,2108	37,2595	2126	DL	0,1928	38,2678	2126
UL	0,2108	37,4587	2126	DL	0,1928	38,02	2126
UL	0,2208	37,9821	2126	DL	0,2028	37,0875	2126
UL	0,2208	38,9085	2126	DL	0,2028	37,7541	2126
UL	0,2308	39,4163	2126	DL	0,2128	38,2453	2126
UL	0,2308	39,5124	2126	DL	0,2128	39,2138	2126
UL	0,2408	38,6231	2126	DL	0,2228	39,4066	2126
UL	0,2408	38,4759	2126	DL	0,2228	39,4504	2126
UL	0,2508	38,9645	2126	DL	0,2328	38,5388	2126
UL	0,2508	38,6411	2126	DL	0,2328	38,4832	2126
UL	0,2608	38,168	2126	DL	0,2428	38,7732	2126
UL	0,2608	38,4087	2126	DL	0,2428	38,6669	2126
UL	0,2708	38,3846	2126	DL	0,2528	38,0098	2126
UL	0,2708	38,9139	2126	DL	0,2528	38,2658	2126
UL	0,2808	38,768	2126	DL	0,2628	38,3754	2126
UL	0,2808	38,2868	2126	DL	0,2628	38,745	2126
UL	0,2908	38,6849	2126	DL	0,2728	38,806	2126
UL	0,2908	38,595	2126	DL	0,2728	38,4726	2126
UL	0,3008	38,5711	2126	DL	0,2828	38,8213	2126
UL	0,3008	39,0739	2126	DL	0,2828	38,6138	2126
UL	0,3108	39,4535	2126	DL	0,2928	38,536	2126
UL	0,3108	39,8838	2126	DL	0,2928	38,9527	2126
UL	0,3208	39,822	2126	DL	0,3028	39,4888	2126
UL	0,3208	39,6992	2126	DL	0,3028	39,7333	2126
UL	0,3308	40,524	2126	DL	0,3128	39,488	2126
UL	0,3308	40,3182	2126	DL	0,3128	40,0719	2126
UL	0,3408	40,5678	2126	DL	0,3228	40,1509	2126
UL	0,3408	40,3387	2126	DL	0,3228	40,4291	2126
UL	0,3508	39,7534	2126	DL	0,3328	40,6411	2126
UL	0,3508	38,7945	2126	DL	0,3328	39,9944	2126
UL	0,3608	40,1684	2126	DL	0,3428	39,6503	2126
UL	0,3608	40,0657	2126	DL	0,3428	38,739	2126
UL	0,3708	39,7698	2126	DL	0,3528	40,0365	2126
UL	0,3708	40,1296	2126	DL	0,3528	40,0148	2126
UL	0,3808	39,5272	2126	DL	0,3628	39,8568	2126
UL	0,3808	39,1014	2126	DL	0,3628	40,1506	2126
UL	0,3908	39,3855	2126	DL	0,3728	39,5534	2126
UL	0,3908	39,767	2126	DL	0,3728	39,1765	2126
UL	0,4008	40,6888	2126	DL	0,3828	39,459	2126
UL	0,4008	40,9934	2126	DL	0,3828	40,1668	2126
UL	0,4108	40,8643	2126	DL	0,3928	41,0234	2126
UL	0,4108	41,3285	2126	DL	0,3928	40,7769	2126
UL	0,4208	41,0167	2126	DL	0,4028	40,9128	2126
UL	0,4208	41,5801	2126	DL	0,4028	41,0114	2126
UL	0,4308	41,5742	2126	DL	0,4128	41,2592	2126
UL	0,4308	42,4104	2126	DL	0,4128	41,5378	2126
UL	0,4408	42,4222	2126	DL	0,4228	41,7374	2126
UL	0,4408	41,6555	2126	DL	0,4228	42,3668	2126
UL	0,4508	41,8696	2126	DL	0,4328	42,5404	2126
UL	0,4508	40,8956	2126	DL	0,4328	41,5751	2126
UL	0,4608	42,0034	2126	DL	0,4428	41,7592	2126
UL	0,4608	41,3403	2126	DL	0,4428	41,1536	2126
UL	0,4708	40,8491	2126	DL	0,4528	41,891	2126
UL	0,4708	40,7606	2126	DL	0,4528	41,2455	2126
UL	0,4808	40,3037	2126	DL	0,4628	40,8619	2126
UL	0,4808	40,4739	2126	DL	0,4628	40,7669	2126
UL	0,4908	40,1114	2126	DL	0,4728	40,225	2126
UL	0,4908	40,2579	2126	DL	0,4728	40,4176	2126
UL	0,5008	39,4384	2126	DL	0,4828	40,1405	2126
UL	0,5008	39,913	2126	DL	0,4828	40,194	2126
UL	0,5108	39,9479	2126	DL	0,4928	39,791	2126
UL	0,5108	39,7384	2126	DL	0,4928	39,7766	2126
UL	0,5208	39,8998	2126	DL	0,5028	40,1226	2126
UL	0,5208	39,6122	2126	DL	0,5028	39,7589	2126
UL	0,5308	39,5547	2126	DL	0,5128	39,5414	2126
UL	0,5308	39,243	2126	DL	0,5128	39,6061	2126
UL	0,5408	38,749	2126	DL	0,5228	39,5494	2126
UL	0,5408	38,6278	2126	DL	0,5228	38,8284	2126
UL	0,5508	39,0495	2126	DL	0,5328	38,7607	2126
UL	0,5508	39,5144	2126	DL	0,5328	38,9247	2126
UL	0,5608	39,8188	2126	DL	0,5428	39,1664	2126
UL	0,5608	39,7859	2126	DL	0,5428	39,4252	2126
UL	0,5708	39,219	2126	DL	0,5528	39,8837	2126
UL	0,5708	39,5441	2126	DL	0,5528	39,7774	2126
UL	0,5808	39,5242	2126	DL	0,5628	39,1384	2126
UL	0,5808	39,4557	2126	DL	0,5628	39,9827	2126
UL	0,5908	39,4948	2126	DL	0,5728	39,5872	2126
UL	0,5908	39,7233	2126	DL	0,5728	39,5474	2126
UL	0,6008	39,7062	2126	DL	0,5828	39,6351	2126
UL	0,6008	39,1957	2126	DL	0,5828	39,6431	2126
UL	0,6108	39,111	2126	DL	0,5928	39,731	2126
UL	0,6108	39,8641	2126	DL	0,5928	39,1475	2126
UL	0,6208	40,6749	2126	DL	0,6028	39,1682	2126
UL	0,6208	40,9061	2126	DL	0,6028	40,1381	2126
UL	0,6308	40,003	2126	DL	0,6128	40,3679	2126
UL	0,6308	40,0189	2126	DL	0,6128	40,8257	2126
UL	0,6408	39,6698	2126	DL	0,6228	39,8269	2126
UL	0,6408	39,5505	2126	DL	0,6228	39,9658	2126
UL	0,6508	38,8434	2126	DL	0,6328	39,2257	2126
UL	0,6508	38,8163	2126	DL	0,6328	39,1888	2126
UL	0,6608	39,0426	2126	DL	0,6428	38,9269	2126
UL	0,6608	38,6603	2126	DL	0,6428	38,887	2126
UL	0,6708	38,6262	2126	DL	0,6528	38,5936	2126
UL	0,6708	38,2417	2126	DL	0,6528	38,5174	2126
UL	0,6808	38,1181	2126	DL	0,6628	38,4189	2126
UL	0,6808	38,4607	2126	DL	0,6628	38,4283	2126
UL	0,6908	38,0086	2126	DL	0,6728	38,1697	2126
UL	0,6908	38,3328	2126	DL	0,6728	38,6733	2126
UL	0,7008	37,5633	2126	DL	0,6828	38,2663	2126
UL	0,7008	37,7204	2126	DL	0,6828	38,3014	2126
UL	0,7108	37,6205	2126	DL	0,6928	37,4923	2126
UL	0,7108	37,6756	2126	DL	0,6928	37,8646	2126
UL	0,7208	37,5039	2126	DL	0,7028	37,7405	2126
UL	0,7208	37,5724	2126	DL	0,7028	37,8172	2126
UL	0,7308	37,7434	2126	DL	0,7128	37,2979	2126
UL	0,7308	37,897	2126	DL	0,7128	37,6322	2126
UL	0,7408	37,3514	2126	DL	0,7228	37,8794	2126
UL	0,7408	38,1912	2126	DL	0,7228	37,645	2126
UL	0,7508	38,9232	2126	DL	0,7328	37,5423	2126
UL	0,7508	38,6695	2126	DL	0,7328	38,1158	2126
UL	0,7608	39,4058	2126	DL	0,7428	38,8303	2126
UL	0,7608	38,5737	2126	DL	0,7428	38,905	2126
UL	0,7708	38,4548	2126	DL	0,7528	39,4687	2126
UL	0,7708	38,3451	2126	DL	0,7528	38,5087	2126
UL	0,7808	38,6471	2126	DL	0,7628	38,4726	2126
UL	0,7808	39,845	2126	DL	0,7628	38,381	2126
UL	0,7908	39,0086	2126	DL	0,7728	39,1599	2126
UL	0,7908	38,8803	2126	DL	0,7728	39,4367	2126
UL	0,8008	38,6972	2126	DL	0,7828	39,1945	2126
UL	0,8008	38,1665	2126	DL	0,7828	39,0787	2126
UL	0,8108	38,2954	2126	DL	0,7928	38,513	2126
UL	0,8108	38,3083	2126	DL	0,7928	38,3396	2126
UL	0,8208	38,6114	2126	DL	0,8028	38,0476	2126
UL	0,8208	38,7587	2126	DL	0,8028	38,5483	2126
