DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	88	0	0	37.978	0	0
DL	0.00405357	0	4	0	2	1	1	2	0	88	0	0	43.6542	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	88	0	0	38.0247 	0	0
UL	0.00505357	0	5	0	2	1	1	2	0	88	0	0	43.5701 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	2126	28	0	38.1256	0	0
DL	0.00580357	0	5	3	2	1	1	2	0	2126	28	0	43.5904	0	0
DL	0.0340357	3	4	0	1	1	1	1	0	88	0	0	38.8642	0	0
DL	0.0340536	3	4	0	2	1	1	2	0	88	0	0	43.9253	0	0
UL	0.0350357	3	5	0	1	1	1	1	0	88	0	0	38.8717 	0	0
UL	0.0350536	3	5	0	2	1	1	2	0	88	0	0	43.9634 	0	0
DL	0.0357857	3	5	3	1	1	1	1	0	2126	28	0	38.8977	0	0
DL	0.0358036	3	5	3	2	1	1	2	0	2126	28	0	43.9459	0	0
UL	0.0407857	4	0	3	1	1	1	1	0	2126	28	0	39.0725 	0	0
UL	0.0408036	4	0	3	2	1	1	2	0	2126	28	0	43.4068 	0	0
DL	0.0427857	4	2	3	1	1	1	1	0	2126	28	0	39.2768	0	0
DL	0.0428036	4	2	3	2	1	1	2	0	2126	28	0	43.0219	0	0
UL	0.0507857	5	0	3	1	1	1	1	0	2126	28	0	39.6293 	0	0
UL	0.0508036	5	0	3	2	1	1	2	0	2126	28	0	42.8984 	0	0
DL	0.0527857	5	2	3	1	1	1	1	0	2126	28	0	39.739	0	0
DL	0.0528036	5	2	3	2	1	1	2	0	2126	28	0	42.7834	0	0
UL	0.0607857	6	0	3	1	1	1	1	0	2126	28	0	39.5051 	0	0
UL	0.0608036	6	0	3	2	1	1	2	0	2126	28	0	42.9303 	0	0
DL	0.0627857	6	2	3	1	1	1	1	0	2126	28	0	39.576	0	0
DL	0.0628036	6	2	3	2	1	1	2	0	2126	28	0	43.071	0	0
UL	0.0707857	7	0	3	1	1	1	1	0	2126	28	0	39.8506 	0	0
UL	0.0708036	7	0	3	2	1	1	2	0	2126	28	0	42.9668 	0	0
DL	0.0727857	7	2	3	1	1	1	1	0	2126	28	0	40.0498	0	0
DL	0.0728036	7	2	3	2	1	1	2	0	2126	28	0	43.0367	0	0
UL	0.0807857	8	0	3	1	1	1	1	0	2126	28	0	39.9418 	0	0
UL	0.0808036	8	0	3	2	1	1	2	0	2126	28	0	43.1913 	0	0
DL	0.0827857	8	2	3	1	1	1	1	0	2126	28	0	40.217	0	0
DL	0.0828036	8	2	3	2	1	1	2	0	2126	28	0	43.3642	0	0
UL	0.0907857	9	0	3	1	1	1	1	0	2126	28	0	41.0644 	0	0
UL	0.0908036	9	0	3	2	1	1	2	0	2126	28	0	43.5233 	0	0
DL	0.0927857	9	2	3	1	1	1	1	0	2126	28	0	41.187	0	0
DL	0.0928036	9	2	3	2	1	1	2	0	2126	28	0	43.8234	0	0
