DL/UL	time	tbSize	SINR(dB)
UL	503.571	88	380247
UL	505.357	88	435701
UL	350.357	88	388717
UL	350.536	88	439634
UL	407.857	2126	390725
UL	408.036	2126	434068
UL	507.857	2126	396293
UL	508.036	2126	428984
UL	607.857	2126	395051
UL	608.036	2126	429303
UL	707.857	2126	398506
UL	708.036	2126	429668
UL	807.857	2126	399418
UL	808.036	2126	431913
UL	907.857	2126	410644
UL	908.036	2126	435233
UL	100.786	2126	406681
UL	100.804	2126	439047
UL	110.786	2126	415755
UL	110.804	2126	440227
UL	120.786	2126	409805
UL	120.804	2126	438271
UL	130.786	2126	411128
UL	130.804	2126	439399
UL	140.786	2126	406546
UL	140.804	2126	440832
UL	150.786	2126	402528
UL	150.804	2126	438763
UL	160.786	2126	405403
UL	160.804	2126	434341
UL	170.786	2126	409567
UL	170.804	2126	430656
UL	180.786	2126	399888
UL	180.804	2126	429717
UL	190.786	2126	409069
UL	190.804	2126	429262
UL	200.786	2126	407721
UL	200.804	2126	434332
UL	210.786	2126	404237
UL	210.804	2126	431694
UL	220.786	2126	410618
UL	220.804	2126	425164
UL	230.786	2126	40567
UL	230.804	2126	433825
UL	240.786	2126	401572
UL	240.804	2126	435848
UL	250.786	2126	402958
UL	250.804	2126	441751
UL	260.786	2126	394754
UL	260.804	2126	428527
UL	270.786	2126	397916
UL	270.804	2126	426923
UL	280.786	2126	389629
UL	280.804	2126	424102
UL	290.786	2126	386707
UL	290.804	2126	427247
UL	300.786	2126	383397
UL	300.804	2126	436166
UL	310.786	2126	385022
UL	310.804	2126	430097
UL	320.786	2126	380742
UL	320.804	2126	422516
UL	330.786	2126	382122
UL	330.804	2126	42574
UL	340.786	2126	381556
UL	340.804	2126	425135
UL	350.786	2126	373187
UL	350.804	2126	415897
UL	360.786	2126	371602
UL	360.804	2126	405352
UL	370.786	2126	369149
UL	370.804	2126	405409
UL	380.786	2126	357451
UL	380.804	2126	40164
UL	390.786	2126	347425
UL	390.804	2126	397389
UL	400.786	2126	348573
UL	400.804	2126	395611
UL	410.786	2126	35209
UL	410.804	2126	399123
UL	420.786	2126	360743
UL	420.804	2126	401748
UL	430.786	2126	359309
UL	430.804	2126	400747
UL	440.786	2126	35473
UL	440.804	2126	402471
UL	450.786	2126	350548
UL	450.804	2126	403329
UL	460.786	2126	344405
UL	460.804	2126	410468
UL	470.786	2126	337925
UL	470.804	2126	405529
UL	480.786	2126	340556
UL	480.804	2126	397925
UL	490.786	2126	334793
UL	490.804	2126	401138
UL	500.786	2126	339249
UL	500.804	2126	400798
UL	510.786	2126	336445
UL	510.804	2126	399645
UL	520.786	2126	334772
UL	520.804	2126	401879
UL	530.786	2126	340232
UL	530.804	2126	403116
