DL/UL	time	tbSize	SINR(dB)
DL	403.571	88	37.978
DL	405.357	88	436.542
UL	503.571	88	380.247
UL	505.357	88	435.701
DL	578.571	2126	381.256
DL	580.357	2126	435.904
DL	340.357	88	388.642
DL	340.536	88	439.253
UL	350.357	88	388.717
UL	350.536	88	439.634
DL	357.857	2126	388.977
DL	358.036	2126	439.459
UL	407.857	2126	390.725
UL	408.036	2126	434.068
DL	427.857	2126	392.768
DL	428.036	2126	430.219
UL	507.857	2126	396.293
UL	508.036	2126	428.984
DL	527.857	2126	39.739
DL	528.036	2126	427.834
UL	607.857	2126	395.051
UL	608.036	2126	429.303
DL	627.857	2126	39.576
DL	628.036	2126	43.071
UL	707.857	2126	398.506
UL	708.036	2126	429.668
DL	727.857	2126	400.498
DL	728.036	2126	430.367
UL	807.857	2126	399.418
UL	808.036	2126	431.913
DL	827.857	2126	40.217
DL	828.036	2126	433.642
UL	907.857	2126	410.644
UL	908.036	2126	435.233
DL	927.857	2126	41.187
DL	928.036	2126	438.234
UL	100.786	2126	406.681
UL	100.804	2126	439.047
DL	102.786	2126	406.174
DL	102.804	2126	438.565
UL	110.786	2126	415.755
UL	110.804	2126	440.227
DL	112.786	2126	416.117
DL	112.804	2126	439.064
UL	120.786	2126	409.805
UL	120.804	2126	438.271
DL	122.786	2126	409.619
DL	122.804	2126	439.637
UL	130.786	2126	411.128
UL	130.804	2126	439.399
DL	132.786	2126	41.008
DL	132.804	2126	441.339
UL	140.786	2126	406.546
UL	140.804	2126	440.832
DL	142.786	2126	402.235
DL	142.804	2126	440.598
UL	150.786	2126	402.528
UL	150.804	2126	438.763
DL	152.786	2126	405.145
DL	152.804	2126	435.746
UL	160.786	2126	405.403
UL	160.804	2126	434.341
DL	162.786	2126	407.971
DL	162.804	2126	434.163
UL	170.786	2126	409.567
UL	170.804	2126	430.656
DL	172.786	2126	407.423
DL	172.804	2126	429.147
UL	180.786	2126	399.888
UL	180.804	2126	429.717
DL	182.786	2126	400.673
DL	182.804	2126	431.321
UL	190.786	2126	409.069
UL	190.804	2126	429.262
DL	192.786	2126	409.343
DL	192.804	2126	428.212
UL	200.786	2126	407.721
UL	200.804	2126	434.332
DL	202.786	2126	40.805
DL	202.804	2126	43.432
UL	210.786	2126	404.237
UL	210.804	2126	431.694
DL	212.786	2126	407.177
DL	212.804	2126	428.795
UL	220.786	2126	410.618
UL	220.804	2126	425.164
DL	222.786	2126	409.287
DL	222.804	2126	429.061
UL	230.786	2126	40.567
UL	230.804	2126	433.825
DL	232.786	2126	407.946
DL	232.804	2126	437.308
UL	240.786	2126	401.572
UL	240.804	2126	435.848
DL	242.786	2126	403.027
DL	242.804	2126	435.742
UL	250.786	2126	402.958
UL	250.804	2126	441.751
DL	252.786	2126	399.524
DL	252.804	2126	438.363
UL	260.786	2126	394.754
UL	260.804	2126	428.527
DL	262.786	2126	39.288
DL	262.804	2126	42.82
UL	270.786	2126	397.916
UL	270.804	2126	426.923
DL	272.786	2126	398.042
DL	272.804	2126	423.346
UL	280.786	2126	389.629
UL	280.804	2126	424.102
DL	282.786	2126	388.326
DL	282.804	2126	426.251
UL	290.786	2126	386.707
UL	290.804	2126	427.247
DL	292.786	2126	384.613
DL	292.804	2126	427.857
UL	300.786	2126	383.397
UL	300.804	2126	436.166
DL	302.786	2126	385.887
DL	302.804	2126	437.118
UL	310.786	2126	385.022
UL	310.804	2126	430.097
DL	312.786	2126	383.264
DL	312.804	2126	432.253
UL	320.786	2126	380.742
UL	320.804	2126	422.516
DL	322.786	2126	381.151
DL	322.804	2126	421.233
UL	330.786	2126	382.122
UL	330.804	2126	42.574
DL	332.786	2126	37.822
DL	332.804	2126	427.833
UL	340.786	2126	381.556
UL	340.804	2126	425.135
DL	342.786	2126	380.919
DL	342.804	2126	423.854
UL	350.786	2126	373.187
UL	350.804	2126	415.897
DL	352.786	2126	376.464
DL	352.804	2126	410.105
UL	360.786	2126	371.602
UL	360.804	2126	405.352
DL	362.786	2126	369.284
DL	362.804	2126	405.571
UL	370.786	2126	369.149
UL	370.804	2126	405.409
DL	372.786	2126	368.552
DL	372.804	2126	408.611
UL	380.786	2126	357.451
UL	380.804	2126	40.164
DL	382.786	2126	355.412
DL	382.804	2126	397.247
UL	390.786	2126	347.425
UL	390.804	2126	397.389
DL	392.786	2126	347.608
DL	392.804	2126	396.276
UL	400.786	2126	348.573
UL	400.804	2126	395.611
DL	402.786	2126	349.644
DL	402.804	2126	396.411
UL	410.786	2126	35.209
UL	410.804	2126	399.123
DL	412.786	2126	349.909
DL	412.804	2126	400.674
UL	420.786	2126	360.743
UL	420.804	2126	401.748
DL	422.786	2126	360.318
